Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI
BATCH_1160,43.09,14.06,3.72,2.14,1.44,0.42,35.93
BATCH_1161,42.95,13.88,3.15,1.99,1.07,0.46,35.38
BATCH_1162,42.92,13.09,2.85,1.73,1.31,0.36,35.79
BATCH_1163,42.99,13.84,3.01,2.49,1.51,0.32,35.12
BATCH_1164,41.77,13.36,3.01,1.94,1.32,0.44,35.74
BATCH_1165,42.34,13.84,3.28,2.04,1.85,0.39,36.22
BATCH_1166,43.53,13.57,2.94,2.13,1.21,0.59,35.27
BATCH_1167,42.73,13.95,3.0,2.21,1.29,0.26,36.17
BATCH_1168,44.22,14.61,3.34,2.35,1.44,0.38,34.61
BATCH_1169,42.99,14.21,2.97,2.19,1.49,0.32,36.1
BATCH_1170,42.46,12.73,3.43,2.09,1.41,0.3,34.55
BATCH_1171,44.88,13.8,2.82,1.91,1.34,0.32,34.69
BATCH_1172,43.7,14.26,3.76,2.25,1.28,0.44,35.75
BATCH_1173,43.26,13.74,2.98,1.99,1.72,0.48,35.11
BATCH_1174,41.75,14.14,2.79,2.03,1.19,0.59,35.1
BATCH_1175,41.77,13.25,3.24,2.2,1.65,0.35,36.31
BATCH_1176,42.66,14.32,2.94,2.28,1.66,0.5,34.93
BATCH_1177,43.48,13.91,3.0,1.71,1.35,0.48,35.41
BATCH_1178,44.65,13.39,2.94,1.98,1.5,0.32,36.39
BATCH_1179,43.76,13.48,3.96,2.22,1.22,0.49,35.59
BATCH_1180,43.63,14.34,3.25,1.86,1.22,0.33,36.29
BATCH_1181,43.28,14.18,2.75,1.97,1.44,0.45,35.86
BATCH_1182,43.33,13.8,2.83,2.03,1.13,0.46,35.18
BATCH_1183,42.37,14.27,3.2,1.87,1.27,0.49,35.47
BATCH_1184,42.83,13.01,3.36,2.36,1.91,0.44,36.3
BATCH_1185,43.16,13.79,2.75,2.11,1.17,0.41,35.03
BATCH_1186,41.4,13.52,3.16,2.12,1.28,0.53,35.58
BATCH_1187,42.76,13.23,3.39,1.95,1.33,0.19,35.41
BATCH_1188,41.89,13.63,3.16,1.66,1.26,0.43,35.8
BATCH_1189,42.76,14.39,3.39,2.0,1.36,0.49,35.87
BATCH_1190,42.41,13.57,2.79,2.1,1.45,0.3,34.63
BATCH_1191,43.57,13.7,3.33,2.52,1.5,0.36,34.53
BATCH_1192,42.29,13.23,3.0,1.87,1.13,0.3,35.41
BATCH_1193,43.3,13.29,3.16,1.92,1.05,0.45,34.67
BATCH_1194,42.79,14.45,3.07,1.68,1.66,0.47,35.66
BATCH_1195,44.31,14.04,3.34,2.29,1.49,0.41,35.34
BATCH_1196,41.6,12.87,3.15,2.15,1.48,0.39,35.16
BATCH_1197,42.09,13.59,3.94,1.86,1.56,0.39,36.04
BATCH_1198,42.83,13.62,3.05,2.01,0.91,0.39,36.34
BATCH_1199,41.94,13.92,3.22,1.93,1.63,0.32,34.73
BATCH_1200,43.38,14.57,3.11,2.04,1.02,0.51,36.12
