Batch_ID,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct
BATCH_0708,66.75,22.0,5.82,3.58,0.9415,2.3416,1.6258,0.3,57.05,20.03,9.36,10.89
BATCH_0709,63.77,20.21,5.45,3.38,0.976,2.288,1.6122,0.7,60.22,12.53,8.73,10.29
BATCH_0710,63.87,22.65,5.0,3.4,0.8916,2.6958,1.4708,0.862,44.46,31.39,7.5,10.35
BATCH_0711,68.46,21.82,3.64,3.08,1.0147,3.2505,1.1826,1.185,77.43,5.0,4.44,9.36
BATCH_0712,65.79,19.95,4.51,2.94,1.0412,2.6754,1.5323,0.658,76.81,5.0,6.98,8.96
BATCH_0713,68.08,22.39,5.39,3.56,0.9527,2.5013,1.5108,0.717,60.8,18.32,8.24,10.85
BATCH_0714,65.22,20.39,4.92,3.0,1.004,2.5756,1.6368,1.063,67.05,7.89,7.94,9.14
BATCH_0715,68.41,21.86,5.25,3.7,0.9785,2.4431,1.419,0.39,68.7,10.85,7.65,11.26
BATCH_0716,68.16,20.96,5.54,3.23,1.0108,2.3884,1.716,0.374,72.92,5.08,9.22,9.83
BATCH_0717,66.39,20.74,4.89,2.96,1.0082,2.6409,1.6486,0.934,69.92,6.7,7.94,9.02
BATCH_0718,67.2,21.5,5.92,3.05,0.97,2.3967,1.9408,1.017,60.0,16.37,10.53,9.28
BATCH_0719,66.38,21.28,5.37,3.56,0.9713,2.3838,1.5091,0.957,61.48,14.63,8.21,10.83
BATCH_0720,67.67,20.95,6.22,3.08,0.9933,2.2527,2.0175,0.494,66.68,9.76,11.26,9.38
BATCH_0721,69.4,22.45,4.72,2.88,0.9858,2.9541,1.6371,0.892,71.19,10.67,7.63,8.77
BATCH_0722,67.11,22.39,4.32,3.17,0.9596,2.9922,1.3629,0.441,66.22,14.24,6.08,9.64
BATCH_0723,65.04,20.97,4.48,3.24,0.9824,2.7141,1.3819,1.869,60.68,14.35,6.39,9.87
BATCH_0724,64.85,22.51,4.18,3.59,0.9214,2.8983,1.163,0.696,55.34,22.8,4.99,10.93
BATCH_0725,68.31,20.77,4.03,3.34,1.0485,2.8182,1.2063,0.826,83.98,5.0,5.03,10.16
BATCH_0726,66.92,19.54,4.57,2.68,1.0808,2.6971,1.7072,1.912,79.94,5.0,7.58,8.14
BATCH_0727,69.89,21.31,5.29,2.95,1.0287,2.5872,1.7943,1.393,74.55,5.0,9.03,8.97
BATCH_0728,66.77,20.65,5.71,3.69,0.9955,2.1986,1.5469,0.638,66.24,9.24,8.88,11.22
BATCH_0729,68.88,20.73,4.47,3.4,1.0497,2.6326,1.3129,1.164,81.73,5.0,6.08,10.36
BATCH_0730,65.32,19.8,4.48,2.99,1.0409,2.6496,1.4983,1.172,74.05,5.0,6.81,9.1
BATCH_0731,63.36,21.23,5.19,3.63,0.9316,2.406,1.4297,0.457,53.02,20.85,7.61,11.05
BATCH_0732,66.85,20.47,4.62,2.87,1.0331,2.7329,1.6097,1.59,73.51,5.0,7.39,8.73
BATCH_0733,66.93,22.04,5.25,3.35,0.9536,2.5654,1.5682,1.045,59.14,18.58,8.24,10.18
BATCH_0734,66.17,20.82,4.65,3.3,1.0023,2.6198,1.4095,0.614,71.27,5.93,6.74,10.04
BATCH_0735,66.79,19.8,5.55,3.3,1.0397,2.2373,1.6788,1.421,70.97,5.0,9.11,10.05
BATCH_0736,67.69,21.58,5.1,3.78,0.9808,2.4299,1.3496,0.445,67.92,10.64,7.12,11.5
BATCH_0737,67.33,19.3,5.11,3.7,1.0762,2.1898,1.3786,0.97,82.04,5.0,7.27,11.27
BATCH_0738,66.42,21.21,5.5,3.69,0.9712,2.3076,1.4882,1.087,60.76,14.98,8.32,11.24
BATCH_0739,65.84,21.14,4.55,3.61,0.9826,2.5907,1.2578,1.438,64.57,11.9,5.93,11.0
BATCH_0740,67.33,20.5,4.96,3.2,1.0289,2.5115,1.5499,1.12,74.41,5.0,7.73,9.74
BATCH_0741,67.91,21.97,6.05,3.15,0.959,2.3878,1.9179,1.024,58.05,19.19,10.69,9.59
BATCH_0742,65.97,21.14,5.06,3.13,0.9804,2.5788,1.6148,0.3,66.81,10.19,8.11,9.54
BATCH_0743,67.39,22.01,4.97,2.91,0.97,2.7927,1.7081,0.898,63.84,14.93,8.25,8.85
BATCH_0744,66.19,21.94,5.0,3.04,0.9538,2.7306,1.6458,0.702,60.35,17.37,8.11,9.24
BATCH_0745,64.7,20.09,4.4,3.0,1.0191,2.7168,1.4681,0.928,71.2,5.0,6.59,9.12
BATCH_0746,66.11,23.13,4.37,2.92,0.9192,3.1702,1.4963,0.418,56.33,23.83,6.64,8.89
BATCH_0747,66.15,21.8,5.2,2.96,0.9559,2.6736,1.7592,1.272,57.01,19.49,8.78,8.99
BATCH_0748,66.68,21.4,4.61,2.96,0.9898,2.8262,1.5541,0.981,68.25,9.86,7.19,9.02
BATCH_0749,65.9,21.51,4.54,3.62,0.9687,2.6362,1.257,0.622,64.94,12.68,5.93,11.0
BATCH_0750,66.6,21.06,5.64,2.88,0.9852,2.4719,1.9563,0.721,64.63,11.62,10.06,8.77
BATCH_0751,67.35,21.92,4.53,3.22,0.9774,2.8287,1.4088,1.058,66.43,12.73,6.57,9.79
BATCH_0752,68.71,23.21,4.66,3.03,0.9469,3.019,1.5387,0.3,64.76,17.7,7.23,9.22
BATCH_0753,66.47,22.04,4.71,3.4,0.9556,2.7184,1.3849,0.805,61.08,17.1,6.72,10.34
BATCH_0754,66.99,21.25,4.81,3.13,0.9951,2.6777,1.534,0.785,69.69,8.36,7.43,9.53
BATCH_0755,68.57,22.7,5.26,3.28,0.9523,2.6573,1.6057,0.3,63.19,17.41,8.4,9.98
BATCH_0756,67.14,21.74,5.15,3.19,0.9712,2.6093,1.6142,0.38,66.03,12.52,8.24,9.7
BATCH_0757,66.71,20.21,4.88,3.7,1.0285,2.3554,1.321,0.933,74.61,5.0,6.69,11.25
BATCH_0758,66.05,23.21,5.86,3.22,0.8912,2.5577,1.8222,0.749,43.41,33.79,10.09,9.78
BATCH_0759,68.22,20.46,4.99,3.31,1.0428,2.4646,1.5089,1.31,76.45,5.0,7.63,10.07
BATCH_0760,68.74,21.62,4.66,3.25,1.0073,2.7345,1.4351,0.728,74.43,5.83,6.85,9.88
BATCH_0761,68.01,22.43,5.07,3.56,0.9552,2.5989,1.4248,0.791,62.35,17.26,7.42,10.83
BATCH_0762,67.25,20.71,5.65,2.81,1.0096,2.4473,2.0118,1.054,68.59,7.64,10.23,8.55
BATCH_0763,65.49,22.86,5.28,3.0,0.9059,2.7621,1.7631,0.733,48.25,29.15,8.93,9.12
BATCH_0764,65.29,22.27,4.86,3.08,0.93,2.8054,1.5813,0.407,55.48,22.0,7.68,9.36
BATCH_0765,68.59,22.6,5.16,3.28,0.958,2.6793,1.5751,0.404,64.57,16.08,8.13,9.97
BATCH_0766,69.9,20.62,4.68,3.06,1.0699,2.6636,1.5321,1.255,84.24,5.0,7.24,9.3
BATCH_0767,68.99,21.89,5.4,2.75,0.9918,2.685,1.9638,0.952,68.0,11.45,9.66,8.37
BATCH_0768,67.03,20.75,4.54,3.08,1.0225,2.7253,1.4735,1.402,73.19,5.0,6.81,9.37
BATCH_0769,66.43,20.01,4.77,3.21,1.0404,2.5074,1.4864,1.023,75.43,5.0,7.21,9.77
BATCH_0770,66.59,20.49,5.01,3.59,1.0133,2.381,1.3968,1.299,69.45,6.34,7.21,10.92
BATCH_0771,66.89,23.35,4.87,3.79,0.9076,2.6942,1.285,1.141,50.87,28.58,6.5,11.54
BATCH_0772,65.62,19.58,5.17,3.22,1.0395,2.3325,1.6057,0.702,74.05,5.0,8.26,9.8
BATCH_0773,66.14,21.91,4.43,3.29,0.9612,2.8392,1.3475,0.952,62.01,16.05,6.18,10.0
BATCH_0774,66.45,21.72,5.54,3.04,0.957,2.5336,1.8241,0.615,59.64,17.28,9.54,9.24
BATCH_0775,65.46,22.0,4.8,3.94,0.936,2.5177,1.2167,0.64,56.98,20.1,6.04,12.0
BATCH_0776,68.05,19.67,5.59,3.14,1.0661,2.2524,1.78,1.111,79.3,5.0,9.5,9.56
BATCH_0777,65.86,23.13,4.42,3.23,0.9128,3.0248,1.3686,0.487,53.79,25.72,6.24,9.82
BATCH_0778,64.87,21.87,5.59,3.85,0.921,2.3154,1.4527,1.679,46.01,27.98,8.31,11.72
BATCH_0779,69.88,20.36,5.13,3.76,1.0655,2.292,1.3644,0.589,85.77,5.0,7.23,11.43
BATCH_0780,68.82,21.43,4.72,3.12,1.0168,2.734,1.5129,1.29,74.03,5.58,7.23,9.49
BATCH_0781,67.75,22.75,3.95,3.24,0.9604,3.1614,1.2195,1.125,65.0,16.18,4.99,9.86
BATCH_0782,68.14,20.77,4.81,3.87,1.0258,2.3929,1.2428,0.887,76.72,5.0,6.2,11.77
BATCH_0783,66.17,20.4,4.56,3.31,1.022,2.5909,1.3756,0.683,73.92,5.0,6.47,10.09
BATCH_0784,68.6,22.49,4.63,2.36,0.9791,3.2153,1.9619,0.76,69.13,12.32,8.28,7.19
BATCH_0785,68.51,21.02,4.19,3.23,1.0383,2.8289,1.2966,1.636,77.93,5.0,5.64,9.84
BATCH_0786,68.68,21.28,4.98,2.79,1.0192,2.7378,1.7839,0.716,75.42,5.0,8.48,8.5
BATCH_0787,68.33,21.1,4.4,2.99,1.0305,2.8537,1.4709,0.879,78.03,5.0,6.6,9.11
BATCH_0788,67.92,21.57,5.43,3.26,0.9841,2.4834,1.6669,0.977,65.87,12.14,8.87,9.91
BATCH_0789,67.26,19.74,4.73,2.76,1.0718,2.6366,1.7152,1.42,80.65,5.0,7.87,8.39
BATCH_0790,68.27,22.03,4.36,3.25,0.9892,2.898,1.3417,1.169,70.26,10.16,6.05,9.88
BATCH_0791,64.67,20.89,5.16,3.61,0.9646,2.3831,1.4283,0.479,61.3,13.66,7.56,10.99
BATCH_0792,67.91,21.08,5.38,3.29,1.0041,2.4314,1.6375,1.302,68.49,8.78,8.7,10.0
BATCH_0793,65.61,21.35,5.14,3.03,0.9659,2.6137,1.6926,0.902,60.84,15.33,8.48,9.23
BATCH_0794,65.65,19.39,6.34,3.17,1.0264,2.0384,2.0009,0.715,68.65,5.0,11.44,9.64
BATCH_0795,66.69,19.88,5.6,3.57,1.0305,2.1675,1.5677,1.173,71.16,5.0,8.8,10.87
BATCH_0796,70.51,21.68,5.36,3.06,1.0202,2.5746,1.7496,0.97,76.07,5.0,9.02,9.32
BATCH_0797,66.42,22.53,4.96,3.58,0.9307,2.6367,1.3842,0.552,56.15,22.24,7.08,10.91
BATCH_0798,68.6,21.23,5.63,3.56,1.0011,2.3114,1.5794,0.714,70.21,7.92,8.88,10.84
BATCH_0799,66.1,22.47,5.0,3.19,0.9313,2.7451,1.5666,1.072,54.28,23.46,7.84,9.7
BATCH_0800,68.05,20.35,5.03,3.5,1.0423,2.3832,1.436,1.063,77.22,5.0,7.41,10.66
BATCH_0801,65.6,20.92,4.94,3.46,0.9826,2.4921,1.4264,0.638,65.25,10.76,7.22,10.53
BATCH_0802,68.33,21.12,5.1,3.49,1.0122,2.4591,1.4629,1.328,70.91,7.04,7.62,10.61
BATCH_0803,66.69,23.48,5.29,2.55,0.9043,2.9954,2.0763,1.052,48.39,30.81,9.71,7.75
BATCH_0804,69.33,20.16,5.41,2.8,1.0705,2.4561,1.9343,1.391,80.4,5.0,9.61,8.51
BATCH_0805,70.3,19.82,5.09,3.18,1.1043,2.3957,1.5998,1.041,90.91,5.0,8.1,9.68
BATCH_0806,66.93,22.44,5.19,2.92,0.9431,2.7655,1.7768,0.813,57.65,20.85,8.82,8.89
BATCH_0807,69.6,20.26,4.82,3.14,1.0782,2.5451,1.5352,1.214,86.33,5.0,7.46,9.55
BATCH_0808,69.02,21.66,4.95,3.36,1.0037,2.6069,1.4708,0.641,73.41,6.72,7.42,10.23
BATCH_0809,67.04,21.75,4.28,2.75,0.9884,3.094,1.5566,0.722,70.01,9.55,6.69,8.37
BATCH_0810,68.8,22.51,5.19,3.81,0.9594,2.501,1.3597,0.619,64.68,15.73,7.29,11.6
BATCH_0811,65.32,21.29,4.7,3.15,0.9705,2.7138,1.4902,1.256,60.69,15.26,7.11,9.59
BATCH_0812,67.81,20.26,4.9,3.04,1.0499,2.5487,1.6102,1.284,77.63,5.0,7.84,9.27
BATCH_0813,69.54,21.71,4.22,3.47,1.0209,2.8228,1.2145,0.489,80.3,5.0,5.3,10.57
BATCH_0814,65.77,20.2,5.0,3.84,1.0109,2.2834,1.3017,0.991,69.07,5.81,6.75,11.7
BATCH_0815,67.25,21.46,5.41,3.27,0.9789,2.4718,1.6568,0.971,64.42,12.92,8.82,9.94
BATCH_0816,66.88,21.4,6.1,3.35,0.9633,2.2648,1.8233,0.457,60.46,15.76,10.51,10.19
BATCH_0817,65.75,20.51,5.24,3.5,0.9963,2.346,1.4962,0.588,67.28,8.04,7.96,10.66
BATCH_0818,66.93,20.85,4.28,3.33,1.0193,2.7411,1.2849,0.986,74.31,5.0,5.7,10.13
BATCH_0819,70.45,22.53,5.45,3.45,0.9801,2.5292,1.5795,1.57,65.65,15.07,8.61,10.51
BATCH_0820,67.79,21.04,5.8,3.26,0.9973,2.3237,1.7801,1.097,66.56,10.1,9.85,9.91
BATCH_0821,67.51,21.37,4.42,2.86,1.0076,2.9371,1.5453,1.44,71.46,7.36,6.87,8.7
BATCH_0822,66.3,22.89,4.97,3.74,0.9148,2.63,1.3288,0.3,54.44,24.56,6.84,11.37
BATCH_0823,66.56,21.64,5.63,3.05,0.96,2.4937,1.843,0.307,61.81,15.42,9.74,9.29
BATCH_0824,66.06,21.32,4.99,3.55,0.9715,2.4971,1.4077,0.857,63.75,13.04,7.23,10.79
BATCH_0825,69.26,21.1,5.03,2.74,1.0355,2.7143,1.8352,1.216,76.38,5.0,8.69,8.34
BATCH_0826,67.33,23.1,4.73,3.46,0.9274,2.8201,1.3663,0.698,57.15,23.11,6.68,10.53
BATCH_0827,68.74,22.05,3.98,3.1,1.0028,3.1161,1.2817,0.988,75.26,6.46,5.29,9.44
BATCH_0828,68.13,20.37,5.28,3.61,1.0366,2.291,1.4649,1.889,72.48,5.0,7.9,10.98
BATCH_0829,68.67,21.94,5.19,3.33,0.9833,2.5759,1.5593,1.078,66.95,12.4,8.12,10.13
BATCH_0830,66.95,23.02,5.13,2.5,0.9269,3.0188,2.0534,0.447,56.66,23.25,9.36,7.6
BATCH_0831,68.05,22.17,5.16,3.17,0.9677,2.6617,1.6304,0.963,63.72,15.48,8.32,9.63
BATCH_0832,68.18,20.79,3.77,3.23,1.0518,2.9704,1.1695,0.694,84.74,5.0,4.54,9.82
BATCH_0833,65.47,21.07,5.64,3.37,0.9635,2.3371,1.6746,0.998,57.51,17.01,9.25,10.26
BATCH_0834,64.89,19.33,4.56,3.05,1.0538,2.5413,1.4952,1.675,74.12,5.0,6.92,9.28
BATCH_0835,67.48,21.44,4.44,3.02,1.0021,2.8737,1.469,0.779,72.95,6.45,6.65,9.2
BATCH_0836,66.09,20.39,5.77,3.47,0.9974,2.2062,1.6651,0.626,66.34,8.4,9.43,10.55
BATCH_0837,67.63,22.91,4.2,3.4,0.9471,3.0161,1.2363,0.3,65.63,16.18,5.38,10.34
BATCH_0838,66.56,22.55,5.72,3.59,0.9202,2.421,1.5933,0.372,52.97,24.69,9.09,10.93
BATCH_0839,65.9,22.03,5.0,3.44,0.9427,2.612,1.4542,0.478,58.6,18.94,7.43,10.46
BATCH_0840,65.8,21.14,4.73,2.98,0.9849,2.7418,1.5897,1.212,64.58,11.89,7.51,9.06
BATCH_0841,66.49,21.37,5.15,3.68,0.9718,2.4212,1.3995,0.869,63.18,13.62,7.42,11.2
BATCH_0842,67.21,21.33,5.15,3.5,0.9857,2.4644,1.4727,0.709,67.93,9.9,7.74,10.65
BATCH_0843,65.82,21.57,5.65,3.16,0.9506,2.4482,1.7902,0.988,56.04,19.57,9.64,9.61
BATCH_0844,69.7,20.07,4.46,2.95,1.0984,2.7091,1.5096,2.115,86.56,5.0,6.81,8.98
BATCH_0845,70.95,22.75,5.31,3.01,0.985,2.7355,1.7631,1.24,69.29,12.96,8.97,9.16
BATCH_0846,68.93,23.08,5.47,3.27,0.94,2.6411,1.6732,0.537,60.35,20.66,8.97,9.95
BATCH_0847,66.61,22.64,4.79,2.93,0.9377,2.9318,1.6377,0.735,57.88,21.23,7.75,8.91
BATCH_0848,65.96,20.58,4.36,3.2,1.0158,2.7201,1.3612,0.718,73.29,5.0,6.14,9.75
BATCH_0849,67.95,22.48,4.3,3.14,0.9688,3.0203,1.3689,0.3,69.76,11.82,6.08,9.56
BATCH_0850,66.2,22.35,4.71,3.55,0.9386,2.7058,1.3242,1.172,56.89,21.15,6.46,10.81
BATCH_0851,65.85,20.61,5.42,3.13,0.994,2.4137,1.733,1.087,64.05,10.79,9.06,9.51
BATCH_0852,66.38,22.17,4.81,3.29,0.9484,2.7343,1.4616,0.661,59.89,18.38,7.18,10.02
BATCH_0853,65.54,20.88,5.17,3.67,0.9773,2.3617,1.4063,0.727,63.19,12.2,7.48,11.18
BATCH_0854,66.24,21.75,4.48,2.81,0.9726,2.9801,1.5939,0.497,67.12,11.73,7.12,8.56
BATCH_0855,69.74,22.7,4.75,3.5,0.9751,2.7517,1.3568,0.902,68.52,13.38,6.66,10.65
BATCH_0856,67.35,22.34,4.57,3.64,0.9567,2.7197,1.2541,1.029,62.44,16.94,5.94,11.09
BATCH_0857,66.34,20.01,5.19,3.68,1.0262,2.2555,1.4097,1.385,70.42,5.0,7.52,11.2
BATCH_0858,68.28,20.5,5.37,3.28,1.035,2.3694,1.6388,0.502,77.08,5.0,8.69,9.98
BATCH_0859,66.5,20.47,4.87,3.18,1.0199,2.5448,1.5325,1.143,71.81,5.0,7.52,9.66
BATCH_0860,66.63,20.58,4.76,3.21,1.0183,2.5845,1.4835,0.768,73.04,5.0,7.18,9.76
BATCH_0861,69.64,23.27,4.24,3.05,0.9642,3.1909,1.39,0.753,68.97,14.68,6.08,9.28
BATCH_0862,65.86,21.45,5.58,3.38,0.9551,2.393,1.6522,0.734,56.8,18.65,9.08,10.28
BATCH_0863,68.27,20.38,5.23,3.28,1.0428,2.3953,1.5915,1.111,76.74,5.0,8.29,9.99
BATCH_0864,68.58,21.51,5.9,3.22,0.9883,2.3576,1.8291,1.309,65.54,12.22,10.17,9.81
BATCH_0865,66.48,21.61,4.85,2.19,0.9814,3.0676,2.2139,1.194,63.69,13.89,9.15,6.67
BATCH_0866,67.29,20.92,4.86,3.13,1.0127,2.6179,1.5533,0.957,71.59,5.97,7.59,9.52
BATCH_0867,71.09,21.04,4.71,3.24,1.0664,2.6459,1.4534,0.715,89.28,5.0,7.0,9.86
BATCH_0868,66.84,22.44,5.12,3.19,0.9407,2.7008,1.6038,0.415,58.5,20.21,8.16,9.71
BATCH_0869,66.5,19.94,4.54,3.27,1.0487,2.5531,1.3868,0.762,78.97,5.0,6.49,9.96
BATCH_0870,67.45,19.46,4.71,3.23,1.0836,2.4511,1.4555,0.823,85.62,5.0,7.0,9.84
BATCH_0871,64.63,22.63,4.94,2.99,0.9074,2.8503,1.6508,0.941,47.5,29.04,8.03,9.11
BATCH_0872,65.58,22.55,5.45,3.52,0.9111,2.5164,1.5487,0.642,49.26,27.5,8.48,10.7
BATCH_0873,64.65,20.74,4.79,3.8,0.975,2.4152,1.2591,0.4,65.37,10.16,6.25,11.57
BATCH_0874,66.36,22.04,4.26,3.32,0.962,2.9058,1.2841,1.091,63.71,15.12,5.68,10.1
BATCH_0875,66.28,21.6,4.9,3.28,0.9675,2.6396,1.4928,0.965,62.39,14.87,7.43,9.99
BATCH_0876,66.2,20.76,5.0,2.8,1.004,2.6635,1.7876,0.47,70.37,6.42,8.51,8.51
BATCH_0877,66.44,22.42,5.29,3.23,0.9327,2.6329,1.6379,0.3,56.47,21.69,8.55,9.82
BATCH_0878,65.54,20.38,5.17,3.61,0.9991,2.3209,1.4338,0.867,66.77,8.05,7.6,10.98
BATCH_0879,67.97,21.48,4.48,3.53,1.0022,2.6838,1.269,1.06,71.99,7.29,5.89,10.74
BATCH_0880,65.32,21.25,4.71,3.55,0.9683,2.5743,1.3283,1.173,61.81,14.3,6.48,10.79
BATCH_0881,67.78,21.01,4.78,3.63,1.0128,2.4969,1.3166,1.15,72.25,5.72,6.53,11.05
BATCH_0882,68.55,22.22,5.7,3.11,0.9643,2.5226,1.8334,1.555,59.21,19.05,9.85,9.46
BATCH_0883,69.77,22.48,4.35,2.93,0.996,3.0892,1.4846,0.978,73.94,8.65,6.57,8.91
BATCH_0884,65.86,22.05,4.92,2.83,0.9478,2.8449,1.7375,1.195,56.95,20.26,8.25,8.62
BATCH_0885,64.79,22.89,4.97,2.75,0.9019,2.9678,1.8093,0.906,46.86,30.27,8.52,8.35
BATCH_0886,69.27,21.03,5.19,3.34,1.0299,2.4674,1.5541,0.727,77.36,5.0,8.1,10.15
BATCH_0887,66.48,21.88,4.69,3.82,0.9581,2.5697,1.2282,0.868,62.22,15.8,5.97,11.63
BATCH_0888,66.89,21.79,5.03,3.18,0.9678,2.6528,1.5795,0.738,63.11,14.87,7.94,9.69
BATCH_0889,66.11,22.4,4.99,3.48,0.9317,2.6457,1.4327,0.532,55.62,22.25,7.32,10.59
BATCH_0890,66.44,20.19,4.75,3.16,1.0334,2.5539,1.505,0.998,75.14,5.0,7.25,9.6
BATCH_0891,69.71,22.46,5.0,3.13,0.9829,2.7604,1.5967,0.931,69.26,12.14,7.96,9.53
BATCH_0892,65.48,21.97,4.51,2.69,0.9536,3.0551,1.6778,0.476,62.46,15.87,7.4,8.17
BATCH_0893,66.27,21.22,4.5,2.85,0.9942,2.8857,1.5815,0.826,69.07,8.72,7.12,8.67
BATCH_0894,70.29,22.71,5.44,2.84,0.9766,2.744,1.9185,0.719,67.66,14.08,9.62,8.63
BATCH_0895,68.06,22.46,5.09,2.68,0.9622,2.8894,1.8964,1.122,62.38,17.34,8.95,8.17
BATCH_0896,66.86,21.51,4.79,3.31,0.9813,2.6561,1.446,0.676,66.96,11.15,7.09,10.07
BATCH_0897,67.98,21.28,4.86,2.77,1.0116,2.7899,1.7526,1.316,71.2,7.28,8.18,8.43
BATCH_0898,66.26,21.05,4.65,3.27,0.9943,2.6565,1.4203,1.422,65.44,10.97,6.78,9.96
BATCH_0899,65.3,22.04,5.65,3.03,0.9268,2.5391,1.863,0.367,52.81,23.35,9.84,9.23
BATCH_0900,65.37,21.39,5.4,3.42,0.953,2.4241,1.581,0.725,57.21,18.16,8.54,10.4
BATCH_0901,65.2,21.38,5.06,2.97,0.9605,2.6608,1.703,1.249,58.11,17.47,8.39,9.05
BATCH_0902,67.41,21.67,5.8,3.37,0.9651,2.3632,1.7232,1.043,59.52,17.24,9.68,10.25
BATCH_0903,68.23,22.61,4.85,2.77,0.962,2.9707,1.752,1.207,62.65,17.56,8.16,8.42
BATCH_0904,65.5,21.32,5.4,3.88,0.9537,2.2978,1.3919,0.513,58.89,16.69,7.74,11.8
BATCH_0905,64.73,21.03,5.08,3.09,0.9662,2.5728,1.6414,0.891,59.3,15.56,8.23,9.42
BATCH_0906,68.04,21.78,5.15,3.12,0.9833,2.6338,1.6519,0.743,67.29,11.68,8.37,9.49
BATCH_0907,69.21,22.32,4.02,3.48,0.9945,2.9754,1.1551,0.566,76.11,6.58,4.77,10.59
BATCH_0908,68.06,21.35,5.36,3.12,0.9972,2.516,1.7165,0.986,68.21,9.77,8.93,9.51
BATCH_0909,70.73,22.54,4.49,3.09,1.0029,2.9723,1.4533,0.508,77.55,6.13,6.68,9.41
BATCH_0910,67.65,19.15,4.67,2.68,1.1096,2.6061,1.7451,1.292,87.84,5.0,7.85,8.15
BATCH_0911,66.5,22.76,3.93,3.24,0.9427,3.1726,1.2148,0.645,62.33,18.22,4.95,9.85
BATCH_0912,67.21,20.68,4.94,3.5,1.0167,2.4496,1.4138,1.423,69.98,6.49,7.18,10.64
BATCH_0913,67.22,22.82,4.96,3.2,0.9343,2.7976,1.5522,0.3,60.15,20.06,7.74,9.73
BATCH_0914,67.28,21.63,5.76,2.97,0.9691,2.4771,1.9381,1.218,60.1,16.68,10.24,9.05
BATCH_0915,67.03,21.67,4.93,2.94,0.9786,2.7529,1.675,1.142,65.02,13.07,8.08,8.95
BATCH_0916,68.66,22.29,4.84,3.33,0.9755,2.727,1.4515,1.499,64.6,15.17,7.18,10.15
BATCH_0917,67.82,21.34,5.79,3.15,0.9866,2.3863,1.8376,1.051,64.39,12.6,10.01,9.59
BATCH_0918,66.77,22.28,4.6,3.29,0.9534,2.8225,1.4002,1.436,59.07,19.3,6.64,10.01
BATCH_0919,69.49,22.67,4.31,3.17,0.9827,3.0303,1.3615,1.0,70.99,11.44,6.07,9.64
BATCH_0920,67.83,21.26,4.89,3.5,1.0025,2.5343,1.3949,1.123,70.65,7.64,7.02,10.66
BATCH_0921,70.3,21.12,5.05,3.54,1.0417,2.4594,1.4263,1.062,79.87,5.0,7.39,10.77
BATCH_0922,69.82,22.85,4.96,3.03,0.971,2.8613,1.6365,1.398,65.38,16.2,8.01,9.22
BATCH_0923,67.54,20.18,5.1,3.54,1.0401,2.3351,1.4388,0.945,77.0,5.0,7.52,10.78
BATCH_0924,67.2,22.4,4.38,2.62,0.9644,3.1974,1.6731,0.749,64.88,15.27,7.19,7.97
BATCH_0925,67.74,20.96,5.68,3.77,0.997,2.218,1.5092,0.899,67.18,9.4,8.69,11.46
BATCH_0926,67.18,22.22,4.95,3.31,0.9557,2.6901,1.4928,0.832,61.5,17.3,7.5,10.08
BATCH_0927,66.1,20.81,5.68,3.46,0.9815,2.2761,1.6406,0.565,64.03,11.37,9.2,10.54
BATCH_0928,66.9,19.6,5.25,3.64,1.0526,2.2043,1.4439,1.167,76.4,5.0,7.77,11.07
BATCH_0929,65.68,20.62,4.52,3.0,1.0086,2.7425,1.5092,0.608,71.6,5.11,6.91,9.12
BATCH_0930,67.17,20.7,5.33,2.97,1.0132,2.4956,1.7932,0.484,72.56,5.0,9.09,9.04
BATCH_0931,68.17,21.42,5.46,3.51,0.9908,2.3901,1.5563,0.831,68.25,9.93,8.53,10.67
BATCH_0932,66.61,22.75,5.39,3.37,0.9207,2.5989,1.5993,0.932,51.83,26.12,8.57,10.25
BATCH_0933,68.14,21.95,5.35,3.43,0.9719,2.5012,1.5594,0.996,64.02,14.63,8.37,10.43
BATCH_0934,66.72,21.42,5.85,2.92,0.9683,2.443,2.0033,1.21,59.11,16.83,10.56,8.89
BATCH_0935,65.54,19.97,4.75,3.49,1.0261,2.4239,1.3636,1.374,71.82,5.0,6.7,10.61
BATCH_0936,67.75,21.78,4.82,3.91,0.9773,2.4951,1.2337,1.051,66.1,12.59,6.16,11.89
BATCH_0937,62.89,23.05,5.02,2.91,0.8679,2.909,1.7278,0.746,38.2,37.28,8.39,8.84
BATCH_0938,66.38,21.98,5.18,4.05,0.9428,2.3801,1.2785,1.238,55.64,21.05,6.88,12.34
BATCH_0939,66.9,21.17,4.63,3.6,0.9962,2.5713,1.2841,0.992,70.01,7.87,6.17,10.97
BATCH_0940,67.69,19.86,5.59,3.32,1.05,2.2283,1.6843,1.3,74.88,5.0,9.2,10.1
BATCH_0941,67.99,22.21,5.34,3.16,0.9626,2.6131,1.6877,0.602,62.75,16.32,8.79,9.62
BATCH_0942,63.69,20.53,5.42,3.22,0.9638,2.3778,1.6824,0.3,59.55,13.94,8.9,9.8
BATCH_0943,67.2,21.3,5.61,3.69,0.977,2.2892,1.5217,0.849,62.95,13.58,8.64,11.23
